iter	readout	layer_idx	layer	within	between	separation	z	p	minpair
180000	after	1	L00	-0.1054	-0.0069	-0.0986	-1.040	0.9520	0
180000	after	2	L01	-0.1011	-0.0146	-0.0865	-1.238	0.9690	0
180000	after	3	L02	-0.0984	-0.0205	-0.0778	-1.312	0.9620	0
180000	after	4	L03	-0.0885	-0.0305	-0.0580	-1.472	0.9780	0
180000	after	5	L04	-0.0768	-0.0399	-0.0369	-1.194	0.9010	0
180000	after	6	L05	-0.0342	-0.0790	0.0448	1.716	0.0670	0
180000	after	7	L06	0.0135	-0.1208	0.1343	5.043	0.0010	4
180000	after	8	L07	0.0739	-0.1736	0.2476	7.911	0.0000	7
180000	after	9	L08	0.1327	-0.2236	0.3563	10.270	0.0000	9
180000	after	10	L09	0.1407	-0.2295	0.3702	10.442	0.0000	9
180000	after	11	L10	0.1494	-0.2365	0.3859	9.546	0.0000	9
180000	after	12	L11	0.1588	-0.2474	0.4062	9.853	0.0000	9
180000	after	13	L12	0.1639	-0.2519	0.4158	10.379	0.0000	9
180000	after	14	L13	0.1669	-0.2543	0.4211	9.285	0.0000	9
180000	after	15	L14	0.1672	-0.2544	0.4216	9.465	0.0000	9
180000	after	16	L15	0.1895	-0.2733	0.4628	9.998	0.0000	9
200000	final	0	embed	-0.0927	-0.0174	-0.0752	-1.196	0.9390	0
200000	final	1	L00	-0.0868	-0.0282	-0.0586	-0.885	0.8090	2
200000	final	2	L01	-0.0854	-0.0292	-0.0563	-0.858	0.7970	2
200000	final	3	L02	-0.0918	-0.0262	-0.0656	-1.248	0.9290	0
200000	final	4	L03	-0.0865	-0.0325	-0.0540	-1.645	0.9820	0
200000	final	5	L04	-0.0786	-0.0401	-0.0385	-1.313	0.9310	0
200000	final	6	L05	-0.0733	-0.0446	-0.0287	-1.157	0.8850	0
200000	final	7	L06	-0.0627	-0.0542	-0.0084	-0.357	0.5970	0
200000	final	8	L07	-0.0432	-0.0719	0.0287	1.370	0.0860	0
200000	final	9	L08	-0.0347	-0.0796	0.0448	2.108	0.0290	0
200000	final	10	L09	-0.0292	-0.0846	0.0554	2.681	0.0100	0
200000	final	11	L10	-0.0290	-0.0849	0.0558	2.792	0.0040	0
200000	final	12	L11	-0.0273	-0.0864	0.0592	3.034	0.0080	0
200000	final	13	L12	-0.0216	-0.0915	0.0699	3.498	0.0000	0
200000	final	14	L13	-0.0222	-0.0910	0.0688	3.506	0.0010	0
200000	final	15	L14	-0.0212	-0.0919	0.0707	3.677	0.0010	1
200000	final	16	L15	-0.0239	-0.0894	0.0655	2.991	0.0040	2
200000	after	0	embed	-0.1102	-0.0086	-0.1016	-0.789	0.6800	1
200000	after	1	L00	-0.1064	0.0030	-0.1094	-1.202	0.9960	0
200000	after	2	L01	-0.1004	-0.0158	-0.0846	-1.291	0.9660	0
200000	after	3	L02	-0.0994	-0.0200	-0.0794	-1.313	0.9700	0
200000	after	4	L03	-0.0889	-0.0303	-0.0585	-1.629	0.9890	0
200000	after	5	L04	-0.0761	-0.0406	-0.0354	-1.168	0.9090	0
200000	after	6	L05	-0.0442	-0.0698	0.0256	1.023	0.1400	0
200000	after	7	L06	-0.0067	-0.1029	0.0962	4.096	0.0000	1
200000	after	8	L07	0.0293	-0.1346	0.1639	6.302	0.0000	4
200000	after	9	L08	0.0975	-0.1947	0.2922	9.597	0.0000	9
200000	after	10	L09	0.1108	-0.2056	0.3164	8.288	0.0010	9
200000	after	11	L10	0.1168	-0.2103	0.3270	9.827	0.0000	9
200000	after	12	L11	0.1276	-0.2204	0.3480	10.365	0.0000	9
200000	after	13	L12	0.1312	-0.2234	0.3546	9.712	0.0000	9
200000	after	14	L13	0.1338	-0.2254	0.3592	11.138	0.0000	9
200000	after	15	L14	0.1347	-0.2261	0.3607	9.895	0.0000	9
200000	after	16	L15	0.1605	-0.2484	0.4089	10.061	0.0000	9
220000	final	0	embed	-0.0924	-0.0167	-0.0758	-1.311	0.9490	0
220000	final	1	L00	-0.0848	-0.0274	-0.0574	-0.837	0.7940	2
220000	final	2	L01	-0.0852	-0.0277	-0.0575	-0.837	0.7850	2
220000	final	3	L02	-0.0899	-0.0267	-0.0631	-1.188	0.9080	0
220000	final	4	L03	-0.0867	-0.0318	-0.0549	-1.576	0.9720	0
220000	final	5	L04	-0.0785	-0.0393	-0.0392	-1.356	0.9260	0
220000	final	6	L05	-0.0736	-0.0439	-0.0297	-1.181	0.8860	0
220000	final	7	L06	-0.0611	-0.0553	-0.0058	-0.264	0.5710	0
220000	final	8	L07	-0.0432	-0.0717	0.0285	1.400	0.0950	0
220000	final	9	L08	-0.0396	-0.0749	0.0353	1.704	0.0590	0
220000	final	10	L09	-0.0351	-0.0791	0.0440	2.076	0.0350	0
220000	final	11	L10	-0.0333	-0.0808	0.0475	2.349	0.0190	0
220000	final	12	L11	-0.0325	-0.0814	0.0488	2.549	0.0090	0
220000	final	13	L12	-0.0286	-0.0848	0.0562	2.939	0.0050	0
220000	final	14	L13	-0.0276	-0.0856	0.0580	2.988	0.0030	0
220000	final	15	L14	-0.0268	-0.0863	0.0595	2.985	0.0030	0
